"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Workflow Pattern","Mapping: FiveWs Pattern Mapping","Mapping: RIM Mapping","Mapping: HL7 V2 Mapping"
"SubscriptionTopic","SubscriptionTopic","","","",0,*,"","","","null {[]} {[]}
","The definition of a specific topic for triggering events within the Subscriptions framework","Describes a stream of resource state changes or events and annotated with labels useful to filter projections from this topic.","","","","","","","","","",,,,,"",,,,"SubscriptionTopic",0,*,"","","Definition","conformance.behavior,infrastructure.exchange","Act[moodCode<=DEFN]"
"SubscriptionTopic.id","SubscriptionTopic.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"SubscriptionTopic.meta","SubscriptionTopic.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubscriptionTopic.implicitRules","SubscriptionTopic.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of its narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubscriptionTopic.language","SubscriptionTopic.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"required","IETF language tag for a human language","http://hl7.org/fhir/ValueSet/all-languages|5.0.0","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SubscriptionTopic.text","SubscriptionTopic.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have a narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"dom-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Act.text?"
"SubscriptionTopic.contained","SubscriptionTopic.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, nor can they have their own independent transaction scope. This is allowed to be a Parameters resource if and only if it is referenced by a resource that provides context/meaning.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags in their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"dom-2
dom-4dom-3dom-5","","N/A"
"SubscriptionTopic.extension","SubscriptionTopic.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubscriptionTopic.modifierExtension","SubscriptionTopic.modifierExtension","","extensions
user content","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"SubscriptionTopic.url","SubscriptionTopic.url","","","",1,1,"Y","","Y","uri {[]} {[]}
","Canonical identifier for this subscription topic, represented as an absolute URI (globally unique)","An absolute URI that is used to identify this subscription topic when it is referenced in a specification, model, design or an instance; also called its canonical identifier. This SHOULD be globally unique and SHOULD be a literal address at which an authoritative instance of this subscription topic is (or will be) published. This URL can be the target of a canonical reference. It SHALL remain the same when the subscription topic is stored on different servers.","Can be a `urn:uuid:` or a `urn:oid:` but real `http/s:` addresses are preferred.  Multiple instances may share the same URL if they have a distinct version.

The determination of when to create a new version of a resource (same url, new version) vs. defining a new artifact is up to the author.  Considerations for making this decision are found in [Technical and Business Versions](http://hl7.org/fhir/R5/resource.html#versions).

In some cases, the resource can no longer be found at the stated url, but the url itself cannot change. Implementations can use the [meta.source](http://hl7.org/fhir/R5/resource.html#meta) element to indicate where the current master source of the resource can be found.

When this is a locally defined topic or derived from a topic defined in the FHIR spec or an IG, this uniquely identifies the topic and functionality. Ideally this URL resolves to documentation about the use cases.

When this is a topic derived from another topic (e.g., it adds additional filters or functionality to a topic defined in an IG), then this URL should be different than the base and the `derivedFromCanonical` should be filled out with the unique uri as defined in the IG.

When this is a direct implementation from another IG or registered topic (with no additional filters, etc., so not derived), then this url is the unique url for this topic as defined by the IG.","Allows the subscription topic to be referenced by a single globally unique identifier.","","","","","","","",,,,,"",,,,"SubscriptionTopic.url",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.url","FiveWs.identifier",".identifier"
"SubscriptionTopic.identifier","SubscriptionTopic.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Business identifier for subscription topic","Business identifiers assigned to this subscription topic by the performer and/or other systems.  These identifiers remain constant as the resource is updated and propagates from server to server.","Note: This is a business identifier, not a resource identifier (see [discussion](http://hl7.org/fhir/R5/resource.html#identifiers)).  It is best practice for the identifier to only appear on a single resource instance, however business practices may occasionally dictate that multiple resource instances with the same identifier can exist - possibly even with different resource types.  For example, multiple Patient and a Person resource instance might share the same social insurance number.","Allows identification of the subscription topic as it is known by various participating systems and in a way that remains consistent across servers.","","","","","","","",,,,,"",,,,"SubscriptionTopic.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.identifier","FiveWs.identifier",".identifier"
"SubscriptionTopic.version","SubscriptionTopic.version","","","",0,1,"Y","","Y","string {[]} {[]}
","Business version of the subscription topic","The identifier that is used to identify this version of the subscription topic when it is referenced in a specification, model, design or instance. This is an arbitrary value managed by the Topic author and is not expected to be globally unique. For example, it might be a timestamp (e.g. yyyymmdd) if a managed version is not available. There is also no expectation that versions are orderable.","There may be multiple different instances of a subscription topic that have the same identifier but different versions.","","","","","","","","",,,,,"",,,,"SubscriptionTopic.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.version","FiveWs.version","N/A (to add?)"
"SubscriptionTopic.versionAlgorithm[x]","SubscriptionTopic.versionAlgorithm[x]","","","",0,1,"","","Y","string {[]} {[]}
Coding {[]} {[]}","How to compare versions","Indicates the mechanism used to compare versions to determine which is more current.","If set as a string, this is a FHIRPath expression that has two additional context variables passed in - %version1 and %version2 and will return a negative number if version1 is newer, a positive number if version2 and a 0 if the version ordering can't be successfully be determined.","","","","","","","","",,"extensible","","http://hl7.org/fhir/ValueSet/version-algorithm|5.0.0","",,,,"SubscriptionTopic.versionAlgorithm[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.versionAlgorithm"
"SubscriptionTopic.name","SubscriptionTopic.name","","","",1,1,"Y","","Y","string {[]} {[]}
","Name for this subscription topic (computer friendly)","A natural language name identifying the subscription topic This name should be usable as an identifier for the module by machine processing applications such as code generation.","The name is not expected to be globally unique. The name should be a simple alphanumeric type name to ensure that it is machine-processing friendly.","Support human navigation and code generation.","","","","","","","",,,,,"",,,,"SubscriptionTopic.name",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.name"
"SubscriptionTopic.title","SubscriptionTopic.title","","Name
SubscriptionTopic Name","",1,1,"Y","","Y","string {[]} {[]}
","Name for this subscription topic (human friendly)","A short, descriptive, user-friendly title for the subscription topic.  For example, ""admission"".","This name does not need to be machine-processing friendly and may contain punctuation, white-space, etc.","","","","","","","","",,,,,"",,,,"SubscriptionTopic.title",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.title",".title"
"SubscriptionTopic.derivedFrom","SubscriptionTopic.derivedFrom","","","",0,*,"","","Y","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubscriptionTopic|5.0.0]]}
","Based on FHIR protocol or definition","The canonical URL pointing to another FHIR-defined SubscriptionTopic that is adhered to in whole or in part by this SubscriptionTopic.","","SubscriptionTopics may be refinements of more generic topics.","","","","","","","",,,,,"",,,,"SubscriptionTopic.derivedFrom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.derivedFromCanonical",".outboundRelationship[typeCode=DEFN].target","Varies by domain"
"SubscriptionTopic.status","SubscriptionTopic.status","","","",1,1,"Y","Y","Y","code {[]} {[]}
","draft | active | retired | unknown","The current state of the SubscriptionTopic.","A nominal state-transition diagram can be found in the [Definition pattern](http://hl7.org/fhir/R5/definition.html#statemachine) documentation

Unknown does not represent ""other"" - one of the defined statuses must apply.  Unknown is used when the authoring system is not sure what the current status is.

See guidance around (not) making local changes to elements [here](http://hl7.org/fhir/R5/canonicalresource.html#localization).","","","","","","","","",,"required","The lifecycle status of an artifact.","http://hl7.org/fhir/ValueSet/publication-status|5.0.0","",,,,"SubscriptionTopic.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.status","FiveWs.status",".status"
"SubscriptionTopic.experimental","SubscriptionTopic.experimental","","","",0,1,"Y","","Y","boolean {[]} {[]}
","If for testing purposes, not real usage","A flag to indicate that this TopSubscriptionTopicic is authored for testing purposes (or education/evaluation/marketing), and is not intended to be used for genuine usage.","Allows filtering of SubscriptionTopic that are appropriate for use vs. not.","Enables experimental content to be developed following the same life-cycle as a production-level SubscriptionTopic would.","","If absent, this resource is treated as though it is not experimental.","","","","","",,,,,"",,,,"SubscriptionTopic.experimental",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.experimental","FiveWs.class","N/A (to add?)"
"SubscriptionTopic.date","SubscriptionTopic.date","","created
","",0,1,"Y","","Y","dateTime {[]} {[]}
","Date status first applied","The date (and optionally time) when the subscription topic was last significantly changed. The date must change when the business version changes and it must change if the status code changes. In addition, it should change when the substantive content of the subscription topic changes.","See guidance around (not) making local changes to elements [here](http://hl7.org/fhir/R5/canonicalresource.html#localization).","","","","","","","","",,,,,"",,,,"SubscriptionTopic.date",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.date","FiveWs.recorded",".participation[typeCode=AUT].time"
"SubscriptionTopic.publisher","SubscriptionTopic.publisher","","author
","",0,1,"Y","","Y","string {[]} {[]}
","The name of the individual or organization that published the SubscriptionTopic","Helps establish the ""authority/credibility"" of the SubscriptionTopic.  May also allow for contact.","","Usually an organization, but may be an individual. The publisher (or steward) of the SubscriptionTopic is the organization or individual primarily responsible for the maintenance and upkeep of the Topic. This is not necessarily the same individual or organization that developed and initially authored the content. The publisher is the primary point of contact for questions or issues with the Topic. This item SHOULD be populated unless the information is available from context.","","","","","","","",,,,,"",,,,"SubscriptionTopic.publisher",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.publisher {as string instead of CodeableConcept}","FiveWs.author",".participation[typeCode=AUT].role"
"SubscriptionTopic.contact","SubscriptionTopic.contact","","","",0,*,"","","Y","ContactDetail {[]} {[]}
","Contact details for the publisher","Contact details to assist a user in finding and communicating with the publisher.","May be a web site, an email address, a telephone number, etc.

See guidance around (not) making local changes to elements [here](http://hl7.org/fhir/R5/canonicalresource.html#localization).","","","","","","","","",,,,,"",,,,"SubscriptionTopic.contact",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Definition.contact",".participation[typeCode=CALLBCK].role"
