"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ZMCoreHealthFacility","ZMCoreHealthFacility.facilityType","ZMCoreHealthFacility.facilityType","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type of Facility","Type of Facility","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.facilityType",1,1,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.level","ZMCoreHealthFacility.level","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Facility Level (Primary, Secondary, Tertiary)","Facility Level (Primary, Secondary, Tertiary)","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.level",0,1,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.province","ZMCoreHealthFacility.province","","","",0,1,"","","","string {[]} {[]}
","Province","Province","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.province",0,1,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.district","ZMCoreHealthFacility.district","","","",0,1,"","","","string {[]} {[]}
","District","District","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.district",0,1,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.address","ZMCoreHealthFacility.address","","","",0,1,"","","","Address {[]} {[]}
","Facility Address","Facility Address","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.address",0,1,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.coordinates","ZMCoreHealthFacility.coordinates","","","",0,1,"","","","string {[]} {[]}
","GPS Coordinates","GPS Coordinates","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.coordinates",0,1,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.telecom","ZMCoreHealthFacility.telecom","","","",0,*,"","","","ContactPoint {[]} {[]}
","Contact Information","Contact Information","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.telecom",0,*,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.operatingHours","ZMCoreHealthFacility.operatingHours","","","",0,*,"","","","string {[]} {[]}
","Operating Hours","Operating Hours","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.operatingHours",0,*,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.services","ZMCoreHealthFacility.services","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Services Offered","Services Offered","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.services",0,*,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.staffCount","ZMCoreHealthFacility.staffCount","","","",0,1,"","","","integer {[]} {[]}
","Number of Staff","Number of Staff","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.staffCount",0,1,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.isActive","ZMCoreHealthFacility.isActive","","","",1,1,"","","","boolean {[]} {[]}
","Is Facility Active","Is Facility Active","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.isActive",1,1,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.parentFacility","ZMCoreHealthFacility.parentFacility","","","",0,1,"","","","Reference {[]} {[]}
","Parent Facility (for referrals)","Parent Facility (for referrals)","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.parentFacility",0,1,"",""
"ZMCoreHealthFacility","ZMCoreHealthFacility.dateEstablished","ZMCoreHealthFacility.dateEstablished","","","",0,1,"","","","date {[]} {[]}
","Date Facility Established","Date Facility Established","","","","","","","","","",,,,,"",,,,"ZMCoreHealthFacility.dateEstablished",0,1,"",""
"ZMCoreImmunizationRecord","ZMCoreImmunizationRecord","ZMCoreImmunizationRecord","","","",0,*,"","","","null {[]} {[]}
","Immunization Record","Immunization record for Zambian health systems","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"ZMCoreImmunizationRecord","ZMCoreImmunizationRecord.patient","ZMCoreImmunizationRecord.patient","","","",1,1,"","","","Reference {[]} {[]}
","Patient","Patient","","","","","","","","","",,,,,"",,,,"ZMCoreImmunizationRecord.patient",1,1,"",""
"ZMCoreImmunizationRecord","ZMCoreImmunizationRecord.vaccine","ZMCoreImmunizationRecord.vaccine","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Vaccine Administered","Vaccine Administered","","","","","","","","","",,,,,"",,,,"ZMCoreImmunizationRecord.vaccine",1,1,"",""
"ZMCoreImmunizationRecord","ZMCoreImmunizationRecord.doseNumber","ZMCoreImmunizationRecord.doseNumber","","","",1,1,"","","","integer {[]} {[]}
","Dose Number","Dose Number","","","","","","","","","",,,,,"",,,,"ZMCoreImmunizationRecord.doseNumber",1,1,"",""
"ZMCoreImmunizationRecord","ZMCoreImmunizationRecord.dateAdministered","ZMCoreImmunizationRecord.dateAdministered","","","",1,1,"","","","date {[]} {[]}
","Date of Administration","Date of Administration","","","","","","","","","",,,,,"",,,,"ZMCoreImmunizationRecord.dateAdministered",1,1,"",""
"ZMCoreImmunizationRecord","ZMCoreImmunizationRecord.provider","ZMCoreImmunizationRecord.provider","","","",0,1,"","","","Reference {[]} {[]}
","Healthcare Provider","Healthcare Provider","","","","","","","","","",,,,,"",,,,"ZMCoreImmunizationRecord.provider",0,1,"",""
"ZMCoreImmunizationRecord","ZMCoreImmunizationRecord.facility","ZMCoreImmunizationRecord.facility","","","",0,1,"","","","Reference {[]} {[]}
","Health Facility","Health Facility","","","","","","","","","",,,,,"",,,,"ZMCoreImmunizationRecord.facility",0,1,"",""
"ZMCoreImmunizationRecord","ZMCoreImmunizationRecord.nextDueDate","ZMCoreImmunizationRecord.nextDueDate","","","",0,1,"","","","date {[]} {[]}
","Next Scheduled Dose","Next Scheduled Dose","","","","","","","","","",,,,,"",,,,"ZMCoreImmunizationRecord.nextDueDate",0,1,"",""
