URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://hapi.moh.gov.zm/fhir/ValueSet/facility-ownership,0.1.0,active,,ZMCoreFacilityOwnershipVS,Zambia Master Facility List Facility Ownership Value Set,"Facility ownership values permitted for a ZM-Core facility organization.",,"Internal"
http://hapi.moh.gov.zm/fhir/ValueSet/facility-registry-status,0.1.0,active,,ZMCoreFacilityRegistryStatusVS,Zambia Master Facility List Registry Status Value Set,"Registry status values permitted for a ZM-Core facility organization.","StructureDefinition/zm-core-facility-registry-status","Internal"
http://hapi.moh.gov.zm/fhir/ValueSet/facility-type,0.1.0,active,,ZMCoreFacilityTypeVS,Zambia Master Facility List Facility Type Value Set,"Facility types permitted for a ZM-Core facility organization.",,"Internal"
http://hapi.moh.gov.zm/fhir/ValueSet/medication-level-of-access,0.1.0,draft,,ZMLevelOfAccessVS,Zambia Medication Level of Access,"Permitted level(s) of care for use of a medicine (HP, HC, L1, L2, L3).",,"Internal"
http://hapi.moh.gov.zm/fhir/ValueSet/medication-zammsa-sku,0.1.0,draft,,ZAMMSAMedicationVS,ZAMMSA Medication SKU ValueSet,"All ZAMMSA catalogue SKUs that are valid for use in the ZM-Core Medication profile.","StructureDefinition/zm-core-medication","Internal"
http://hapi.moh.gov.zm/fhir/ValueSet/product-group,0.1.0,draft,,ZMProductGroupVS,Zambia eLMIS Product Group ValueSet,"Allowed Product Group values from the eLMIS Master list.",,"Internal"
http://hapi.moh.gov.zm/fhir/ValueSet/product-type,0.1.0,draft,,ZMProductTypeVS,Zambia Product Type ValueSet,"Allowed Product Type values for Medication.",,"Internal"
http://hapi.moh.gov.zm/fhir/ValueSet/zm-communication-channel-vs,0.1.0,draft,,ZMCommunicationChannelVS,Zambia Communication Channel Value Set,"Approved preferred and fallback delivery channels for hub communications.","StructureDefinition/zm-core-communication,StructureDefinition/zm-consent-communication-channel,StructureDefinition/zm-core-communication-request,StructureDefinition/zm-communication-fallback-channel","Internal"
http://hapi.moh.gov.zm/fhir/ValueSet/zm-communication-consent-action-vs,0.1.0,draft,,ZMCommunicationConsentActionVS,Zambia Communication Consent Action Value Set,"Permitted contact actions represented in a communication consent.","StructureDefinition/zm-core-communication-consent","Internal"
http://hapi.moh.gov.zm/fhir/ValueSet/zm-communication-data-classification-vs,0.1.0,draft,,ZMCommunicationDataClassificationVS,Zambia Communication Data Classification Value Set,"Data classifications used to enforce communication disclosure rules.","StructureDefinition/zm-communication-data-classification","Internal"
